2815	582
1606	1948
3022	5796
3694	1842
669	2737
1206	3123
2678	2921
5382	3099
247	2981
858	6045
1937	3584
5469	6195
1452	2935
202	4665
4324	2440
5212	169
3073	576
3242	4837
3424	3425
5346	978
3939	4789
1562	4970
400	4708
4504	400
4992	3967
1402	3416
76	1096
4609	1840
3904	727
2932	2560
4741	2013
3585	1560
3142	6234
3045	3500
1509	3608
4233	2034
1326	5342
4579	5452
2518	4992
1212	2305
735	583
1036	4891
818	3282
3600	2315
4288	2693
778	3489
1158	3910
2460	2110
2099	628
5143	3909
2346	5485
763	3807
2222	5804
4504	4312
5869	420
4899	1851
4239	529
4646	4349
298	3995
3768	4712
5232	6160
5296	3706
5959	3439
2329	322
208	2306
5157	890
2687	1175
1743	267
1889	4392
272	4006
4539	1158
925	5748
3649	1503
77	2921
5707	1485
3772	5763
5246	2485
1003	1833
3472	1482
2188	4033
4756	1995
6115	1487
1059	3476
5603	2490
5778	2276
4496	5943
3529	69
3957	1135
5167	1207
5030	4389
2666	5002
4648	6072
2994	4908
2716	4763
3098	6153
3958	1599
1037	5022
4978	522
3444	3460
935	3257
1195	4814
3958	3688
2601	4380
1379	4774
5554	41
248	5755
2255	5669
775	2217
3214	478
1858	2598
1038	4037
3284	4584
2968	1241
229	2339
5535	4118
822	1754
6030	3718
2201	970
5297	6178
633	4789
5253	5988
5050	2593
3721	5764
4546	2016
2750	5579
180	1796
2285	3639
1015	2678
4860	48
2208	4980
1094	3918
4704	4552
2480	4863
2028	3409
5835	858
2741	3659
332	4698
414	2519
5771	2480
797	912
734	3247
4027	4360
5381	6038
3748	4507
494	2782
3234	4569
5705	1021
2596	4127
5375	1338
6147	1143
3632	875
887	2240
2233	863
4835	4251
2428	636
2861	3496
543	2022
5731	3002
347	5150
627	5574
5157	1067
5722	1012
1177	5521
2804	2475
471	4050
808	6158
1157	2629
1371	3306
5517	4733
5728	1699
190	2499
1245	2580
3494	5312
1680	3367
4076	3501
3633	2701
4735	2293
4977	219
1730	3997
21	6153
4596	2076
982	1395
3443	4526
2398	3566
1009	477
910	4312
1408	3849
419	4493
6193	2187
3129	3898
840	5116
5023	1175
5713	4279
1652	4824
4824	2085
4726	4393
5377	5896
6099	16
5897	3407
4051	1782
1132	4637
2564	4199
485	4409
5763	1767
1658	4687
2518	2979
1796	2225
1201	1955
5133	1304
1575	2629
1785	3075
2756	1957
2113	5397
1588	3153
2209	3756
1256	2669
3813	500
730	2022
444	4109
3909	1996
844	3437
3198	4093
4518	5243
814	347
1561	820
3650	4514
703	698
5965	1960
1891	2064
2057	114
4878	1395
2137	3116
3508	3686
1441	801
2259	4795
212	957
5469	360
1163	854
1081	3214
1205	1137
5320	205
4196	1116
4008	4094
1351	3818
3378	2419
396	5764
2220	2436
3256	2213
1049	5322
5772	1076
1544	4760
2633	43
4466	2778
1992	1670
2696	6053
5867	5179
2277	2781
1910	258
3401	741
5065	4450
5410	375
3051	5599
550	2508
4331	2194
4710	1735
1712	1181
3039	1515
2745	4956
786	501
2238	1706
3320	1042
6222	3118
1605	2165
6029	4485
2592	2054
1388	4194
2178	5116
3444	3216
5616	4088
1547	4347
1030	4545
5175	1895
5640	953
5421	2712
285	2688
4739	5732
2832	1143
1224	1125
4598	2604
4561	22
278	2909
303	789
2799	3737
3745	3647
4438	2690
2925	1685
4122	3436
1275	3228
4805	2426
2210	1773
4837	2082
504	850
3166	3257
4917	2513
862	5021
3382	5853
3284	6215
1138	1577
660	6106
5080	6131
1232	173
866	4616
2176	932
3114	1949
728	5346
401	2034
2521	3679
5495	1496
4688	1746
1262	4274
5450	145
396	4514
744	4210
2203	4924
5288	1874
1482	2941
1757	3825
1201	4429
4019	5967
1885	4512
4258	2712
1990	6113
279	6129
657	1488
6151	584
5791	4274
5040	4163
2131	4524
2485	3981
2641	3725
1479	3673
4108	3515
709	2258
1631	674
3069	851
920	5665
1513	5289
1490	3847
500	5617
5678	117
1032	6083
1880	4852
3521	317
4853	4591
5849	546
1261	3309
5738	4988
158	3781
3675	1553
2409	4686
4874	2661
614	4081
3128	288
947	3016
4175	4904
1166	4733
1534	5405
3119	4210
2770	5544
1701	1643
6144	1539
2684	346
510	1245
3674	4205
5435	3772
416	1182
556	4999
5367	5552
5392	4104
1747	1296
5180	4086
1626	504
5892	2507
5050	4299
2490	3534
4512	6146
1410	1577
2385	478
1319	2611
2850	2470
2202	1746
901	717
3798	5589
5382	4007
5900	781
5493	1071
5723	5425
4567	1784
3716	704
3667	2809
3090	5202
1986	750
4710	2561
6113	3617
3392	382
2585	2188
4606	5914
6075	5412
3358	2233
2124	6174
2421	2656
4940	1768
384	3402
3902	932
957	5595
20	1706
2720	3341
3724	2574
2462	2599
1969	1175
5438	6202
2146	5142
3240	3805
4484	1388
2757	6076
2485	4897
4947	2159
223	4481
2689	1873
1194	2926
5042	3351
6197	6061
3857	2831
4471	4203
2970	5077
4157	3552
3792	5971
5894	825
5966	3352
2204	188
2454	2187
1549	4477
5079	108
5414	2789
5102	6181
5807	717
5754	1920
6074	6141
6231	2317
5509	5886
1864	1357
773	5282
1785	5946
1641	1894
4397	4377
4396	756
2312	5921
5418	978
2169	340
5757	4049
3173	5960
5298	2271
2083	1486
5518	4077
1537	1297
5869	3915
791	311
585	420
2393	2984
3282	5911
4500	4851
3971	1677
1449	4895
1267	322
4158	942
1823	2802
883	12
4811	5391
2002	222
2739	5238
3983	1907
4288	1242
911	1226
2930	4903
5307	1206
4435	5005
3010	4144
1770	3567
4120	4175
3474	1945
1011	6030
192	1876
3214	4804
461	1496
3515	2299
1032	2168
1062	5197
1854	4224
3545	2649
4117	4327
1926	3749
3968	2470
1852	628
5968	5929
4349	1700
460	2948
824	4032
1525	388
5975	4586
6058	3046
2019	2357
4108	2285
2448	135
5707	5561
4686	5772
3288	3978
4151	5658
3440	6180
3863	2081
5094	3258
1845	3193
1232	678
1916	4365
5770	1501
4524	2931
3801	4021
3305	4413
6104	3827
2876	515
1144	5045
2819	3763
4803	5358
72	5988
4238	1479
1731	6155
968	5383
222	1582
90	2369
3589	1215
388	1443
1385	4470
3512	842
2204	1161
5517	118
5834	77
